RISM ID,LIBRARY INFO (852),PART OF (773),COMPOSER (100),TITLE (245),STANDARD TITLE (240),SCORING (240m),WORK CATALOG (690),SUBJECT HEADING (650),SOURCE TYPE (593a),SOURCE TYPE (593b),DATE TO (260),DATE FROM (260),MATERIAL (300),PLATE NR (028)
850732689,I-Vc Busta 71.43,,,Arie di Vari Autori,10 Arias,,,Arias (voc.),Manuscript copy,Notated music,,,score,
850716793,I-Vlevi C.5,850717381,"Soriano, Francesco",CANZONETTE | PER CANTAR | ET SONAR DI LIUTO | A TRE VOCI,10 Madrigals,,,Madrigals,Manuscript copy,Notated music,,,,
850717382,I-Vlevi C.5,850717381,,CANZONETTE | PER CANTAR | ET SONAR DI LIUTO | A TRE VOCI,10 Madrigals,,,Madrigals,Manuscript copy,Notated music,,,,
850716994,I-Vlevi C.5,850717381,,CANZONETTE | PER CANTAR | ET SONAR DI LIUTO | A TRE VOCI,10 Madrigals,,,Madrigals,Manuscript copy,Notated music,,,,
850809564,I-Gl M.(1) 1A,,,Arie di canto | Partitura,10 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1760,1750,score,
850715014,I-Vire 340,,"Martini, Giovanni Battista",Li Dodici Duetti | del Celebre Maestro | Martini,11 Duets,,,Duets (voc.),Manuscript copy,Notated music,,,score,
850721152,I-Vc Busta 55.2,,"Perotti, Giovanni Agostino","Adi Primo Maggio | 1818 | Libro Novo da Corni Da Caccia | Del Sig:r Giannagostino Perotti | Colomba, Corno Primo.",11 Pieces,,,Pieces,Manuscript copy,Notated music,,,parts,
850728736,I-Vc Busta 2.18,,"Bach, Johann Christian",Suonate per Cembalo | Del Sig:r | Giovanni Bacch,11 Sonatas,,,Sonatas,Manuscript copy,Notated music,1800,1791,,
850728973,I-Vc Busta 128.12,,,arie,12 Arias,,,Arias (voc.),Manuscript copy,Notated music,,,parts,
850632961,I-Bsf M.C.VI.5,,"Corigliano, Domenico",Dodici | Ariette per voce di Soprano | con Accompagnamento di Piano forte. | Musica | Del Sig. Cavaliere di Rignano.,12 Ariettes,,,Ariettes,Manuscript copy,Notated music,1810,1801,score,
850635021,I-Bsf Ms.60-40,,"Fortunati, Gian Francesco",Canoni,12 Canons,,,Canons (voc.),Autograph manuscript,Notated music,1785,1785,,
850729175,I-Vc Busta 129.28,,,Balli Inglesi,12 Dances,,,Dances,Manuscript copy,Notated music,,,score,
850713085,I-Vc Busta 4.17,,"Möckel, Antonio ",Teutsche | per il | Cla=Vicembalo | Del Sig: Möckel,12 Dances,,,Dances,Manuscript copy,Notated music,1790,1761,,
850640242,I-Bsf M.A.III.18,,"Durante, Francesco",Duetti,12 Duets,"V (2), bc",,Duets (voc.),Manuscript copy,Notated music,1800,1791,1 score: 21 f.,
850781019,I-PAc [no indication],,"Durante, Francesco",N.o 12 | Duetti Vocali Da Camera | Del Sig.r Francesco Durante,12 Duets,"V (2), bc",,Duets (voc.),Manuscript copy,Notated music,1790,1761,score,
850625950,I-Bsf M.Martini II-7.1,,"Martini, Giovanni Battista",Dodici Duetti da Camera | Del Mro Giambatista Martini,12 Duets,,,Duets (voc.),Manuscript copy,Notated music,1800,1791,score,
850715688,I-Vire 6,,"DeMezzo, Pietro",Duetti da Studio,12 Duets,,,Duets (voc.),Manuscript copy,Notated music,,,score,
850715893,I-Vire 266,,"Clari, Giovanni Carlo Maria",N:  12. Duetti | Del Sig.r M.ro Giovanni Maria Clari,12 Duets,,,Duets (voc.),Manuscript copy,Notated music,,,score,
850721340,I-Vire 368,,"Naumann, Johann Gottlieb",N:  12Duetti | Del Sig:r Gio: Amadeu Nauman,12 Duets,,,Duets (voc.),Manuscript copy,Notated music,,,score,
850625775,I-Bsf M.Martini II-7.2,,"Martini, Giovanni Battista",N. 12 Duetti da camera composti dal Pre Mro. Gio.Batta Martini Min Cle di Bologna,12 Duets,,,Duets (voc.),Manuscript copy,Notated music,1800,1791,score,
850811044,I-Gl O. 4. 20,,"Asioli, Bonifacio",N. 2. 12. | Duetti | Con | accompagnamento | di | Piano Forte,12 Duets,,,Duets (voc.),Manuscript copy,Notated music,1840,1810,score,
850714749,I-Vc Busta 9.1,,,"Dodici partite | Per | Due Oboe, due Corni da Caccia , e Fagotto",12 Partitas,,,Partitas,Manuscript copy,Notated music,1760,1741,parts,
850630800,I-Bsf M.V.XVII.9,,,Duettini Sacri sopra alcuni Versetti de' Salmi tradotti dal Sig: d: Saverio Mattei Nap.o,12 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1790,1761,1 score: 14 f.,
850809242,I-Gl F. 1. 5.3,,"Roscher, Josef",12 Vortragsstücke Op. 88,12 Vortragsstücke,,,Instrumental pieces,Manuscript copy,Notated music,1930,1900,parts,
850710378,I-Vc Busta 4.16,,"Möckel, Antonio ",Menuetto | Per il Cempalo | Del Sig: Antonio Möckel,13 Keyboard pieces,,,Keyboard pieces,Manuscript copy,Notated music,1790,1761,,
850630750,I-Bsf M.Mattei XVI-1,,"Mattei, Stanislao",Composizioni,13 Pieces,,,Pieces,Partial autograph,Notated music,1800,1791,score,
850715505,I-Vc Busta 43.1,,"Hasse, Johann Adolf",Musica di Hasse | copiata di pugno | del chiariss. Abate don Giammario | Ortes,16 Arias,,,Arias (voc.),Manuscript copy,Notated music,1740,1711,score,
850794537,I-Bl [no indication],,,Walzers diversi,19 Waltzes,,,Waltzes,Manuscript copy,Notated music,1889,1880,,
1001232660,I-Vc Busta 3.7,,,[without title],2 Arias,,,Arias (voc.),Manuscript copy,Notated music,,,,
850642570,I-FZc C.I.8,,"Cicognani, Antonio ",Ave Maria,2 Ave Maria,,,Offertories,Autograph manuscript,Notated music,1900,1891,score,
850626860,I-Bsf M.M.I-16,,"Mazzoni, Antonio Maria",Canoni due a trè Voci | dedicati da | Antonio Mazzoni | al Merito Sovragrande del Revmo Padre Maestro | Giambattista Martini | Min Conv,2 Canons,,,Canons (voc.),Manuscript copy,Notated music,1760,1741,parts,
850627619,I-Bsf M.Passerini I-2,,"Passerini, Francesco",Cantate,2 Cantatas,,,Cantatas,Manuscript copy,Notated music,1800,1791,score,
850727676,I-Vc Busta 40.72,,"Buzzolla, Antonio",composizioni vocali,2 Chansons,"V, pf",,Chansons,Possible autograph manuscript,Notated music,,,score,
850626611,I-Bsf XXII-6,,"Mattei, Stanislao",Composizioni,2 Credo,,,Sacred songs,Autograph manuscript,Notated music,1815,1815,score,
850712164,I-Vc Busta 1.1,,"Aprile, Giuseppe",Due Duetti | per | 2 Contralti Col Basso | del Sig. Aprile,2 Duets,,,Duets (voc.),Manuscript copy,Notated music,1800,1791,score,
850712523,I-Vc Busta 2.29,,"Bianchi, Francesco",Duetti,2 Duets,,,Duets (voc.),Manuscript copy,Notated music,1783,1783,score,
850712574,I-Vc Busta 8.9,,Anonymus,Duetto,2 Duets,,,Duets (voc.),Manuscript copy,Notated music,1760,1741,score,
850635300,I-Bsf Ms.60-34,,"Mattei, Stanislao",Fughe,2 Fugues,,,Fugues (inst.),Autograph manuscript,Notated music,1784,1784,1 score: 2f.,
850635501,I-Bsf Ms.60-33,,"Mattei, Stanislao",Fughe,2 Fugues,,,Fugues (inst.),Autograph manuscript,Notated music,1784,1784,1 score: 2 f.,
850676948,I-BARad Ms 66,,,Inni,2 Hymns,,,Hymns,Manuscript copy,Notated music,1900,1891,part,
850810521,I-Gl DONO BARBIERI 58,,"Barbieri, Mario",Danza orientale{{brk}}*Sogni,2 Instrumental pieces,,,Instrumental pieces,Manuscript copy,Notated music,1914,1914,score(s) and parts,
850720832,I-Vc Busta 72.14,,,Composizioni Strumentali,2 Items,,,,Manuscript copy,Notated music,,,1 part,
850628560,I-Bsf XVIII-16,,"Mattei, Stanislao",Composizioni,2 Laudamus te,,,Sacred songs,Autograph manuscript,Notated music,1798,1798,score,
850641416,I-FZc C.I.36,,"Cicognani, Antonio ",Mottetti,2 Laudes ac gratiae,,,Motets,Autograph manuscript,Notated music,1900,1891,score,
850646931,I-Ras MS Mus. 19,,,Sette Ultime Parole Di Gesù Cristo sulla Croce,2 Le sette ultime parole di Gesú Cristo sulla croce,,,Sacred songs,Manuscript copy,Notated music,1900,1801,score,
850722403,I-Vc Busta 88.5,,"Perotti, Giovanni Agostino",Lezioni,2 Lections,,,Lections,Manuscript copy,Notated music,,,score,
850682398,I-BARad Ms 143,,,Litanie,2 Litanies,,,Litanies,Manuscript copy,Notated music,1960,1941,score,
850627018,I-Bsf M.M.I.15,,"Marcello, Benedetto",Due Madrigali di sua Eccellenza Il Sig.r Benedetto Marcello Nobile Veneto,2 Madrigals,,,Madrigals,Manuscript copy,Notated music,1790,1761,score,
850626867,I-Bsf M.M.IV.1,,"Moneta, Giuseppe",Notturni,2 Notturni,,,Notturni (voc.),Manuscript copy,Notated music,1810,1801,score,
850642410,I-FZc A.VII.54,,"Radicati, Felice Alessandro",Composizioni,2 Pieces,,,Pieces,Manuscript copy,Notated music,1900,1801,score and parts,
850632585,I-Bsf FC.A.II.21,,,Composizioni,2 Pieces,,,Pieces,Manuscript copy,Notated music,1800,1791,score,
850807919,I-Gl D. 3. 22,,,Metodo | di Canto | Composto | Dal Sig:r Mstro T. Consalvo | Parte 3.za,2 Pieces,,,Pieces,Manuscript copy,Notated music,1830,1801,score,
850627055,I-Bsf XX-10,,"Mattei, Stanislao",Composizioni,2 Qui tollis peccata,,,Sacred songs,Autograph manuscript,Notated music,1793,1793,score,
850628573,I-Bsf XIX-12,,"Mattei, Stanislao",Li tre domine a 4}. Soli | f. S. Mattei | 1794,2 Sacred songs,V (4),,Sacred songs,Autograph manuscript,Notated music,1794,1794,1 score: 22 f.,
850674997,I-BARad Ms 122.1-2,,"Pansini, G.",Componimento | Del Giovadì Santo | Del Sig Pansini | Per Organo.,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1890,1861,"vocal score, score, parts",
850626901,I-Bsf XX-17,,"Mattei, Stanislao",Composizioni,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1804,1804,score,
850628407,I-Bsf XVIII-14,,"Mattei, Stanislao",Composizioni,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1794,1794,score,
850628555,I-Bsf XVIII-13,,"Mattei, Stanislao",Composizioni,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1800,1791,1 score: 14 f.,
850630743,I-Bsf XX-7,,"Mattei, Stanislao",Composizioni,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1796,1796,1 score: 6 f.,
850714338,I-Vc Busta 32.11,,"Perotti, Giovanni Agostino",Composizioni,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1760,1741,score,
850627410,I-Bsf M.V.XXI.2,,,Composizioni,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1790,1761,score,
850647526,I-Ras MS Mus. 72,,"Dolfi, Pietro ",Composizioni vocali liturgiche,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1900,1891,score and parts,
850647698,I-Ras MS Mus. 66,,"Dolfi, Pietro ",Composizioni vocali liturgiche,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1900,1891,score,
850628021,I-Bsf M.Mattei V-1,,"Mattei, Stanislao",Composizioni vocali liturgiche,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1800,1791,score,
850646330,I-Ras MS Mus. 111,,"Monanni, Augusto",Composizioni vocali liturgiche,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1893,1893,score and parts,
850646326,I-Ras MS Mus. 109,,"Manzoli, Francesco",Composizioni vocali sacre,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1900,1891,parts,
850684803,I-BARad Ms 17.1,,,Composizioni vocali sacre,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1890,1861,score and part(s),
850684806,I-BARad Ms 23.1,,,Composizioni vocali sacre,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,1900,1891,2 parts,
850626764,I-Bsf XXI-19,,"Mattei, Stanislao",Cum Sancto | f.S.M | 1797,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1787,1787,score,
850628427,I-Bsf XIX-16,,"Mattei, Stanislao",Domine deus agnus dei | B solo | f.S.M | 1786 | ed il Quis Sicut dominus a 3v.,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1786,1786,score,
850684809,I-BARad Ms 24.1-8,,"Ambrosini, Pietro",Graduale | Beatus | Per la festa di S. Luigi Gonzaga | di Pietro Ambrosini | a | Basso con coro,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1853,1853,various,
850647868,I-Ras MS Mus. 69,,"Dolfi, Pietro ",Graduale a due e Offertorio a tre | per la festa di S.Anna matris | B.Mariæ Virginis | con musica di me Pietro Dolfi | Partitura originale A. 1865,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1865,1865,score and parts,
850647196,I-Ras MS Mus. 77,,"Dolfi, Pietro ",Graduale e Offertorio | Per la festa di S.Pantaleonis Martyris | Partitura originale di me Pietro Dolfi | A. 1867,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1867,1867,score and parts,
850628422,I-Bsf XIX-13,,"Mattei, Stanislao",Li tre domine | a due Bassi con RR. | f.S.Mattei,2 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1810,1801,score,
850713651,I-Vire 165-166,,Anonymus,Messa di Requiem | a 4. Soli | del Maestro | Pietro Tonassi,2 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,,,,
850632279,I-Bsf FC.A.IV.17,,Anonymus,I:M:I,2 Sonatas,"vl, bc",,Sonatas,Manuscript copy,Notated music,1790,1761,1 score: 6 f.,
850811652,I-Gl SS.A.2.12v (H 7),,"Naumann, Johann Gottlieb","Due Sonate | Per Pian, e Fort, o Clavicembalo | Coll'accompagnamento del Violino",2 Sonatas,,,Sonatas,Manuscript copy,Notated music,1790,1770,score,
850684635,I-BARad Ms 41.1,,,Inni,2 Tantum ergo,,,Hymns,Manuscript copy,Notated music,1890,1861,score and part(s),
850643146,I-FZc A.VI.46,,"Frascaroli, Serafino",variazioni,2 Variations,,,Variations,Manuscript copy,Notated music,1900,1801,,
850635720,I-FZc C.VII.56.8,,,Composizioni vocali,2 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1900,1801,score,
850716071,I-Vc Busta 41.10,,"Buzzolla, Antonio",Fughe a 5 parti,21 Fugues,,,Fugues (inst.),Possible autograph manuscript,Notated music,1860,1841,score,
850636393,I-FZc C.II.38,,"Cicognani, Antonio ",Romanze,24 Romances,,,Romances (voc.),Autograph manuscript,Notated music,1900,1891,score,
850628528,I-Bsf M.C.VIII.6,,"Corelli, Arcangelo",Opera 2?: Opera 3 Del Sig.Corelli,24 Sonatas,"vl (2), bc",,Sonatas,Manuscript copy,Notated music,1800,1791,1 score: 25 f.,
850711817,I-Vc Busta 1.11,,,Ariette,25 Ariettes,,,Ariettes,Manuscript copy,Notated music,,,score,
850632124,I-Bsf FC.B.II-18,,"Bellinzani, Paolo Benedetto",Salmi a Cappella. Bellinzani,25 Pieces,,,Pieces,Manuscript copy,Notated music,1790,1761,,
850813563,I-Gl NN. 90,,,Basso,25 Pieces,,,Vocal pieces,Manuscript copy,Notated music,1775,1759,part(s),
850715484,I-Vc Busta 41.11,,,Coro nell'Opera Amleto di Antonio Buzzolla,26 Items,,,,Composite,Notated music,1890,1861,score,
850712714,I-Vc Busta 2.34,,,Composizioni vocali,29 Arias,,,Arias (voc.),Manuscript copy,Notated music,1700,1691,score,
850721352,I-Vc Busta 43.27,,"Jommelli, Niccolò",S. Gio: Grisostomo 2:da 1746 del Sig:r Nicolo` Jomelli,3 Arias,,,Arias (voc.),Manuscript copy,Notated music,,,score,
850632959,I-Bsf FC.M.II-8,,"Catena, Antonio",Canoni,3 Canons,,,Canons (voc.),Manuscript copy,Notated music,1800,1701,score,
850809677,I-Gl M.(1) 1XX,,"Mayr, Johann Simon",Parti cantanti delle trè cavatine | con l'accompagnamento | Della chitarra Francese | Cantate | Dalla Sig:ra Elisabetta Gafforini | In Genova | 1802,3 Cavatinas,,,Cavatinas,Manuscript copy,Notated music,1802,1802,vocal score,
850713611,I-Vc Busta 11.7,,"Stabingher, Mattia","Tre | Divertimenti | Per Flauto, Violino, Viola, e Violoncello | Violoncello | Del Sig:r Stabingher",3 Divertimentos,,,Divertimentos,Manuscript copy,Notated music,1790,1761,parts,
850810919,I-Gl M. (4). 32. 14A-B,,"Duport, Jean-Louis",Trè Duetti | Per due Violoncelli | Composti | Dal Signor L: Duport | Violoncello Primo,3 Duets,,,Duets (inst.),Manuscript copy,Notated music,1799,1780,parts,
850628400,I-Bsf M.Mattei III-2,,"Mattei, Stanislao",Inni per S.Biagio | a 3e.Voci con Strumenti | Del P.re M.ro Stanislao Mattei | 1813,3 Hymns,,,Hymns,Manuscript copy,Notated music,1810,1801,score,
850632256,I-Bsf FC.A.IV.6,,,Sonate,3 Instrumental pieces,,,Instrumental pieces,Manuscript copy,Notated music,1800,1791,1 part,
850798822,I-Bl [no indication],,"Galeazzi, Francesco","Tre ottetti di Francesco Galeazzi torinese a due primi violini, due secondi, due viole, e due violoncelli da suonarsi a due tavolini",3 Octets,,,Octets (inst.),Manuscript copy,Notated music,1799,1799,,
1001232661,I-Vc Busta 7.6,,,[without title],3 Pieces,,,Pieces,Manuscript copy,Notated music,,,,
1001232662,I-Vc Busta 7.7,,,[without title],3 Pieces,,,Pieces,Manuscript copy,Notated music,,,,
850711529,I-Vc Busta 12.6,,"Andreozzi, Gaetano","N: III Quintetti | Del Gaetano Andreozzi Oboe, o | Flauto",3 Quintets,,,Quintets (inst.),Manuscript copy,Notated music,1800,1791,parts,
850711149,I-Vc Busta 12.8,,"Lidl, Andreas",N: III Quintetti | Del Sig.r Lidel | Flute,3 Quintets,,,Quintets (inst.),Manuscript copy,Notated music,1800,1791,parts,
850636826,I-FZc C.II.18,,"Cicognani, Antonio ",Composizioni vocali sacre,3 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1900,1891,score,
850628568,I-Bsf M.Mattei XIV-3,,"Mattei, Stanislao",Inno Exultet-Tu es Pastor- | Tantum ergo | a 2. Cori | p.la novena di S. Pietro nella | Metropolitana | di | f. S.Mattei | 1819,3 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1819,1819,score,
850626760,I-Bsf XXI-18,,"Mattei, Stanislao",Composizioni,3 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1800,1791,score,
850630717,I-Bsf M.Z.I.7,,"Zingarelli, Niccolò Antonio",Ode 33:39:41: | D'anacreonte | Musica | Del Sig:r Nicola Zingarelli,3 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1810,1801,1 score: 10 f.,
850714545,I-Vc Busta 1.12,,,Ariette,30 Ariettes,,,Ariettes,Manuscript copy,Notated music,,,score,
850715932,I-Vc Busta 46.3,,,Libro del credo alla breve,31 Pieces,,,Pieces,Manuscript copy,Notated music,1800,1791,parts,
850795106,I-Bl [no indication],,"Aprile, Giuseppe",36 solfeggi in chiave di soprano,36 Solfeggios,,,Solfeggios (inst./voc.),Manuscript copy,Notated music,1859,1850,,
850714212,I-Vc Busta 8.8,,,Suonatine  | per | Arpa,38 Instrumental pieces ,,,Instrumental pieces,Manuscript copy,Notated music,1760,1741,,
850712744,I-Vc Busta 8.2,,,Tomo Primo | Arie | Serie,4 Arias,,,Arias (voc.),Manuscript copy,Notated music,,,score,
850728401,I-Vc Busta 125.75,,,DUI,4 Duets,,,Duets (inst.),Manuscript copy,Notated music,,,parts,
850632802,I-Bsf M.C.VI-6,,"Clari, Giovanni Carlo Maria",N} IV Duettini madrigaleschi per Soprano e Tenore di Gio. M.ria Clari.,4 Duets,,,Duets (voc.),Manuscript copy,Notated music,1800,1791,score,
850727851,I-Vc Busta 126.39,,,Esercizi,4 Exercises,,,Exercises (inst.),Manuscript copy,Notated music,,,score,
850715135,I-Vire 185,,,Composizioni Strumentali,4 Instrumental pieces,,,Instrumental pieces,Manuscript copy,Notated music,,,score,
850712375,I-Vc Busta 6.146.1-4,,,Composizioni Strumentali,4 Items,,,,Manuscript copy,Notated music,,,score,
850626911,I-Bsf M.Mattei XVII-6,,"Mattei, Stanislao",Messe,4 Masses,,,Masses,Manuscript copy,Notated music,1800,1791,score,
850712003,I-Vc Busta 6.30,850712375,,Minuetti,4 Minuets,,,Minuets,Manuscript copy,Notated music,1800,1791,,
850722160,I-Vc Busta 72.13,850721175,,Quattro Monferrine per due Violini,4 Monferrinas,,,Monferrinas,Manuscript copy,Notated music,,,parts,
850713852,I-Vire 135,850714043,"Marcello, Benedetto",Tomo III,4 Psalms,,,Psalms,Manuscript copy,Notated music,,,score,
850726366,I-Vc Busta 122.9,,"Davaux, Jean-Baptiste","N:o IV | Quartetti | Per Cembalo | Violino, e Viola | Del Sig:r Davo` | Violino",4 Quartets,,,Quartets (inst.),Manuscript copy,Notated music,,,parts,
850712159,I-Vc Stampe ant.tratt.48,,,A.D.1598 | N.1 Improperia | a 4 voci | di | Zarlino detto il Chiozzotto | N.2 Missa de Requiem quatuor vocibus | Auctore Joanne a Cruce | il Chiozzotto | N.3 Messa a due Baritoni | del Chiozzotto ¢... | | N.4 Magnificat a 4 voci a Capp,4 Sacred songs,,,Sacred songs,Manuscript copy,Notated music,,,score,
850626904,I-Bsf XX-18,,"Mattei, Stanislao",Composizioni,4 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1815,1815,score,
850646414,I-Ras MS Mus. 38,,"Clementi, Giuseppe",Composizioni vocali sacre,4 Sacred songs,,,Sacred songs,Partial autograph,Notated music,1900,1801,score,
850727073,I-Vc Busta 128.57,,"Pampani, Antonio Gaetano",Toccate di Cembalo del Sig.r Pampani,4 Toccatas,,,Toccatas,Manuscript copy,Notated music,,,score,
850630964,I-Bsf M.S.III.1,,"Sacchini, Antonio",Composizioni vocali profane,4 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1800,1791,1 score: 45 f.,
850722012,I-Vc Busta 42.26,,"Rossini, Gioachino",Tu che accendi | Aria Rossini nel Tancredi e duetto Ah se de' mali | 1812 alla Fenice e Cavatina Come dolce,4 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1810,1801,score,
850720893,I-Vc Busta 48.1,,,Composizioni strumentali,43 Instrumental pieces,,,Instrumental pieces,Manuscript copy,Notated music,1800,1791,part,
850795139,I-Bl [no indication],,"Asioli, Bonifacio",N. 5 ariette dell'abate Pietro Metastasio,5 Ariettes,,,Ariettes,Manuscript copy,Notated music,1819,1810,score,
850808975,I-Gl D. 3. 47.,,"Mayr, Johann Simon",Mayer,5 Operas,,,Operas,Manuscript copy,Notated music,1820,1803,score,
850716078,I-Vire 218,,,arie,5 Pieces,,,Pieces,Manuscript copy,Notated music,,,score,
850802236,I-Gl B.  3.  14.,,,Beethoven | Cristo all'oliveto | e quartetti | Meyer | Rosa rossa,5 Pieces,,,Pieces,Manuscript copy,Notated music,1850,1820,1 score,
850675253,I-BARad Ms 157,,,Controbasso,5 Pieces,,,Pieces,Manuscript copy,Notated music,1890,1861,parts,
850713656,I-Vire 135,850714043,"Marcello, Benedetto",TOMO QUINTO,5 Psalms,,,Psalms,Manuscript copy,Notated music,,,score,
850716479,I-Vire 135,850714043,"Marcello, Benedetto",TOMO SESTO,5 Psalms,,,Psalms,Manuscript copy,Notated music,,,score,
850636510,I-FZc C.II.20,,"Cicognani, Antonio ",Composizioni vocali e strumentali sacre,5 Sacred songs,,,Sacred songs,Autograph manuscript,Notated music,1900,1891,score,
850626157,I-Bsf M.Mattei XV-4,,"Mattei, Stanislao",Sanctus Deus a 4} | Concert. | f. S. Mattei | 1778 | Originale,5 Sanctus Deus,,,Sacred songs,Autograph manuscript,Notated music,1778,1778,score,
850632434,I-Bsf FC.A.IV.1,,,Sonate,5 Sonatas,cemb,,Sonatas,Manuscript copy,Notated music,1800,1791,1 part,
850811946,I-Gl [no indication],,Anonymus,Pezzi vocali | staccati,5 Vocal pieces,,,Vocal pieces,Manuscript copy,Notated music,1840,1810,score,
850715480,I-Vc Busta 41.35,,,Fughe,56 Fugues,,,,Manuscript copy,Notated music,,,score,
850714583,I-Vc Busta 8.194,,"Millico, Giuseppe",Sei Canzonette | con | L'accompagnamento del Piano-Forte | Del | Sig: Giuseppe Millico,6 Canzonettas,,,Canzonettas,Manuscript copy,Notated music,1800,1791,score,
850714195,I-Vc Busta 8.33,,"Millico, Giuseppe",Sei Canzonette | con | l'accompagnamento del Piano-Forte | del | Sig:r GiuseppeMillico,6 Canzonettas,,,Canzonettas,Manuscript copy,Notated music,1800,1791,score,
850807112,I-Gl E.5.25 (G.8),,"Lidarti, Christian Joseph",Sei Divertimenti | A | Due Flauti Tra:ri | Del Sig:re Cristiano Giusep:e | Lidarti | A:co F:co,6 Divertimentos,,,Divertimentos,Manuscript copy,Notated music,1780,1750,score,
850724849,I-Vc Busta 129.4,,"Campioni, Carlo Antonio","Duetti N:ro 6. | Per Violino, e Violoncello | Del Sig:r Carlo Antonio Campioni | Violino Obbligato. | duetto primo",6 Duets,,,Duets (inst.),Manuscript copy,Notated music,,,parts,
850713978,I-Vc Busta 9.4,,"Mancinelli, Domenico",N:¢ VI | Duetti a Due Flauti Treversieri | Del Sig: Domenico Mancinelli | Flauto Primo,6 Duets,,,Duets (inst.),Manuscript copy,Notated music,1790,1761,parts,
850805868,I-Gl A. 2. 4h,,"Lidarti, Christian Joseph","N.° 6 Duetti | Per Flauto Traverso, ò Violino, e Cimbalo | Del Sig.r | Cristiano Giuseppe Lidarti | Accad.° Filar.co | Flauto ò Violino",6 Duets,,,Duets (inst.),Manuscript copy,Notated music,1790,1760,parts,
850808497,I-Gl SS.A.1.21(12-13),,"Lidarti, Christian Joseph",n° 6= | Duetti a Flauto Trav:° o Violino e | Clavicimbalo | Di | Cristiano Gius:e Lidarti Acd:co Fil.o | Clavicimbalo,6 Duets,,,Duets (inst.),Manuscript copy,Notated music,1790,1760,parts,
850727770,I-Vc Busta 119.11,,,"Sei | Duetti Sonabili, e Cantabili | Primo Secondo e Basso | Per il Flauto Dolce o Traversier",6 Duets,,,Duets (inst.),Manuscript copy,Notated music,,,score,
850710397,I-Vc Busta 12.14,,"Stabingher, Mattia",VI | Duetti | A due Flauti Traversier | Del Sig Matia Stabingher | Flauto Primo,6 Duets,,,Duets (inst.),Manuscript copy,Notated music,1800,1791,parts,
850626857,I-Bsf M.L.I.12,,"Lidarti, Christian Joseph",VI Duetti | a violino e clavicembalo | di Cristiano Giuseppe Lidarti | accademico Filarmonico | violino,6 Duets,,,Duets (inst.),Manuscript copy,Notated music,1790,1761,parts,
850712897,I-Vc Busta 4.19,,"Ottani, Bernardo",Duetti Notturni | Del Sig. | Bernardino Ottani,6 Duets,,,Duets (voc.),Manuscript copy,Notated music,1860,1841,score,
850640046,I-Bsf FN.C.II.1,,"Clari, Giovanni Carlo Maria",Libbri due. Madrigali sei a due voci. Del Sig. Gio Batta Clari di Pisa. Libbro Primo,6 Madrigals,V (2),,Madrigals,Manuscript copy,Notated music,1800,1791,1 score: 27 f.,
850626921,I-Bsf M.Mattei XVII-7,,"Mattei, Stanislao",Messa a 8. Voci brevi | f.S. Mattei | 1792 | Originale,6 Masses,,,Masses,Autograph manuscript,Notated music,1792,1792,score,
850711329,I-Vc Busta 5.7,,"Salieri, Francesco",Minuetti di Franc:co Salieri,6 Minuets,,,Minuets,Manuscript copy,Notated music,1810,1801,score,
850712747,I-Vc Busta 13.10,,"Cormier, Carlo",Sei Notturni a due Flauti Traversi e Fagoto | Del Abbate Carlo Cormier,6 Notturni,,,Instrumental pieces,Manuscript copy,Notated music,1800,1791,parts,
